,D614G_IC50,BA1_IC50,BA2_IC50,BA3_IC50,SARS_IC50,BA1_1_IC50,BA2_12_1_IC50,BA2_75_IC50,BA5_IC50,BF7_IC50,BA2_13_IC50,BQ1_1_IC50,XBB_IC50,XBB1_5_IC50,XBB1_5_10_IC50,BA5_ELISA_compete_level,paper_reactivity,source,group
GC0517,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,long-term BA.1 convalescents,F1
GC0519,0.0161,0.079,0.0201,NA,10,NA,NA,0.01737,0.0684,NA,NA,10,1.11,1.57,NA,0,cross,long-term BA.1 convalescents,E1/E2.1
GC0521,0.0172,0.0537,0.0163,NA,10,NA,NA,0.01655,0.0344,NA,NA,10,1.2,1.18,NA,0,cross,long-term BA.1 convalescents,E1/E2.1
GC0523,0.00291,0.00221,0.00922,NA,10,NA,NA,0.0102,0.0031,NA,NA,0.0362,0.211,0.452,NA,0.897763802,cross,long-term BA.1 convalescents,A1
GC0529,0.00429,0.00831,0.00152,NA,10,NA,NA,0.02384,0.404,NA,NA,10,10,10,10,0.5429106,cross,long-term BA.1 convalescents,A1
GC0532,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,specific,BA.5 convalescents,E3
GC0533,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0538,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.065159876,cross,BA.5 convalescents,F1
GC0539,0.763,NA,NA,NA,NA,NA,NA,NA,1.59,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0540,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0541,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0542,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0543,0.913,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,10,10,10,10,0.292426828,cross,BA.5 convalescents,F1
GC0547,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0548,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0549,3.32,NA,NA,NA,NA,NA,NA,NA,2.01,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,E2.2
GC0551,10,NA,NA,NA,10,NA,NA,NA,1.01,NA,NA,1.17,10,10,10,0.619208707,specific,BA.5 convalescents,F1
GC0552,0.019,NA,NA,NA,10,NA,NA,NA,0.0881,NA,NA,10,10,10,10,0.54798331,cross,BA.5 convalescents,A1
GC0553,0.0196,NA,NA,NA,10,NA,NA,NA,0.00704,NA,NA,0.0133,0.0129,0.0245,10,0.93161819,cross,BA.5 convalescents,A1
GC0554,0.00875,NA,NA,NA,10,NA,NA,NA,0.007,NA,NA,0.00928,0.0129,0.00788,0.03883,0.897288768,cross,BA.5 convalescents,A1
GC0555,0.0109,NA,NA,NA,10,NA,NA,NA,0.00948,NA,NA,0.015,0.00994,0.00751,0.01368,0.867133921,cross,BA.5 convalescents,A1
GC0556,0.0172,NA,NA,NA,10,NA,NA,NA,0.0224,NA,NA,10,10,10,10,0.468768914,cross,BA.5 convalescents,A1
GC0557,0.0352,NA,NA,NA,10,NA,NA,NA,0.034,NA,NA,10,10,10,10,0.691574748,cross,BA.5 convalescents,A1
GC0558,0.00992,NA,NA,NA,10,NA,NA,NA,0.00794,NA,NA,0.56,10,10,10,0.672382902,cross,BA.5 convalescents,A1
GC0562,0.0381,NA,NA,NA,10,NA,NA,NA,0.085,NA,NA,10,10,10,10,0.501887412,cross,BA.5 convalescents,A1
GC0563,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0564,10,NA,NA,NA,10,NA,NA,NA,1.38,NA,NA,1.07,10,10,10,0.529995775,specific,BA.5 convalescents,C/D1
GC0565,10,NA,NA,NA,10,NA,NA,NA,0.0895,NA,NA,0.23,10,10,10,0.41222109,specific,BA.5 convalescents,C/D1
GC0567,10,NA,NA,NA,10,NA,NA,NA,0.424,NA,NA,0.777,10,10,10,0.403150077,specific,BA.5 convalescents,C/D1
GC0572,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0573,2.39,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0575,10,NA,NA,NA,10,NA,NA,NA,0.56,NA,NA,10,10,10,10,0.279763186,specific,BA.5 convalescents,D3
GC0576,1.36,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0577,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0578,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0580,0.0176,NA,NA,NA,10,NA,NA,NA,10,NA,NA,10,10,10,10,0.332450194,cross,BA.5 convalescents,A1
GC0581,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0583,10,NA,NA,NA,10,NA,NA,NA,0.00996,NA,NA,0.0341,1.85,1.44,NA,0.800494794,specific,BA.5 convalescents,A1
GC0585,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.570125224,cross,BA.5 convalescents,F1
GC0586,10,NA,NA,NA,10,NA,NA,NA,0.394,NA,NA,10,10,10,10,0.196728882,specific,BA.5 convalescents,E1/E2.1
GC0587,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0590,10,NA,NA,NA,10,NA,NA,NA,0.1,NA,NA,2.45,10,10,10,0.482008946,specific,BA.5 convalescents,D4
GC0591,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.144909931,cross,BA.5 convalescents,F1
GC0593,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0594,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0597,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.008625647,cross,BA.5 convalescents,F1
GC0606,0.757,NA,NA,NA,NA,NA,NA,NA,0.999,NA,NA,3.32,0.888,0.839,NA,0,cross,BA.5 convalescents,E2.2
GC0608,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.607788884,specific,BA.5 convalescents,C/D1
GC0609,2.93,NA,NA,NA,NA,NA,NA,NA,2.98,NA,NA,10,10,10,10,0.437318525,cross,BA.5 convalescents,E3
GC0610,0.00844,NA,NA,NA,10,NA,NA,NA,0.00251,NA,NA,10,10,10,10,0.261841049,cross,BA.5 convalescents,E1/E2.1
GC0611,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,E2.2
GC0613,10,NA,NA,NA,10,NA,NA,NA,0.0587,NA,NA,0.147,0.244,0.438,NA,0.726082509,specific,BA.5 convalescents,A2
GC0618,2.14,NA,NA,NA,NA,NA,NA,NA,2.21,NA,NA,NA,10,10,10,0,cross,BA.5 convalescents,F1
GC0623,1.47,NA,NA,NA,NA,NA,NA,NA,1.78,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,E3
GC0624,10,NA,NA,NA,10,NA,NA,NA,0.654,NA,NA,0.696,10,10,10,0.37615924,specific,BA.5 convalescents,C/D1
GC0628,1.72,NA,NA,NA,NA,NA,NA,NA,2.46,NA,NA,10,10,10,10,0.168605229,cross,BA.5 convalescents,F1
GC0629,10,NA,NA,NA,10,NA,NA,NA,0.0747,NA,NA,0.396,10,10,10,0.682430619,specific,BA.5 convalescents,A2
GC0640,0.704,NA,NA,NA,NA,NA,NA,NA,0.806,NA,NA,2.85,1.39,0.563,NA,0,cross,BA.5 convalescents,E3
GC0645,10,NA,NA,NA,10,NA,NA,NA,0.0269,NA,NA,0.0305,0.0371,0.0165,0.07839,0.834938437,specific,BA.5 convalescents,A2
GC0646,10,NA,NA,NA,10,NA,NA,NA,1.94,NA,NA,10,10,10,10,0.512944513,specific,BA.5 convalescents,A2
GC0647,10,NA,NA,NA,10,NA,NA,NA,0.00806,NA,NA,0.0214,0.0193,0.0164,0.04189,0.8100804,specific,BA.5 convalescents,A1
GC0658,10,NA,NA,NA,10,NA,NA,NA,0.00148,NA,NA,0.00684,0.00245,0.00404,NA,0.763581824,specific,BA.5 convalescents,F3
GC0660,10,NA,NA,NA,10,NA,NA,NA,2.23,NA,NA,10,10,10,10,0.120549751,specific,BA.5 convalescents,A2
GC0664,10,NA,NA,NA,10,NA,NA,NA,0.313,NA,NA,10,10,10,10,0.538581648,specific,BA.5 convalescents,A2
GC0668,10,NA,NA,NA,10,NA,NA,NA,0.0139,NA,NA,0.024,0.0499,0.0464,NA,0.892381517,specific,BA.5 convalescents,D4
GC0669,10,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,E3
GC0679,10,NA,NA,NA,10,NA,NA,NA,0.0185,NA,NA,0.0362,0.0272,0.0207,NA,0.651772822,specific,BA.5 convalescents,F3
GC0684,0.00854,NA,NA,NA,10,NA,NA,NA,0.164,NA,NA,10,0.0951,0.0769,10,0.644018813,cross,BA.5 convalescents,A1
GC0685,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,E3
GC0687,0.00515,NA,NA,NA,10,NA,NA,NA,0.0296,NA,NA,0.259,0.0997,0.0403,0.5663,0.713876967,cross,BA.5 convalescents,A1
GC0689,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,specific,BA.5 convalescents,A1
GC0690,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.510625621,specific,BA.5 convalescents,A1
GC0691,10,NA,NA,NA,10,NA,NA,NA,0.045,NA,NA,0.229,0.231,0.124,NA,0.309016183,specific,BA.5 convalescents,A2
GC0693,10,NA,NA,NA,10,NA,NA,NA,0.016,NA,NA,0.039,0.0623,0.0396,10,0.593240901,specific,BA.5 convalescents,A2
GC0695,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,E3
GC0700,0.00685,NA,NA,NA,10,NA,NA,NA,0.0224,NA,NA,0.0527,0.121,0.0509,10,0.796768765,cross,BA.5 convalescents,A1
GC0702,0.00796,NA,NA,NA,10,NA,NA,NA,0.00776,NA,NA,0.0108,0.00703,0.0067,0.07834,0.880205713,cross,BA.5 convalescents,A1
GC0704,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.112085511,cross,BA.5 convalescents,E2.2
GC0706,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,E3
GC0711,0.744,NA,NA,NA,NA,NA,NA,NA,0.614,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,E2.2
GC0721,10,NA,NA,NA,10,NA,NA,NA,0.0845,NA,NA,10,10,10,10,0.579189833,specific,BA.5 convalescents,D2
GC0723,10,NA,NA,NA,10,NA,NA,NA,0.618,NA,NA,0.669,0.133,0.0913,NA,0.380590204,specific,BA.5 convalescents,F3
GC0724,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.325051595,specific,BA.5 convalescents,B
GC0728,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.562979684,specific,BA.5 convalescents,A2
GC0741,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.6804544,cross,BA.5 convalescents,F1
GC0742,10,10,10,NA,10,NA,NA,NA,10,NA,NA,10,10,10,10,0,specific,BA.5 convalescents,F1
GC0743,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.633476206,specific,BA.5 convalescents,F1
GC0744,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.145637233,specific,BA.5 convalescents,F1
GC0745,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.533683998,specific,BA.5 convalescents,F1
GC0746,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.517069915,specific,BA.5 convalescents,F1
GC0747,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.500479902,specific,BA.5 convalescents,F1
GC0748,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.061271269,specific,BA.5 convalescents,F1
GC0749,0.65,10,10,NA,10,NA,NA,NA,10,NA,NA,10,10,10,10,0.206753555,cross,BA.5 convalescents,F1
GC0750,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.541399763,specific,BA.5 convalescents,F1
GC0751,10,10,10,NA,10,NA,NA,10,10,NA,NA,10,10,10,10,0.279234234,specific,BA.5 convalescents,F1
GC0754,10,NA,NA,NA,10,NA,NA,NA,0.0401,NA,NA,0.0663,10,10,10,0.575381448,specific,BA.5 convalescents,F3
GC0758,2.08,NA,NA,NA,NA,NA,NA,NA,3.39,NA,NA,10,10,10,10,0.080661744,cross,BA.5 convalescents,F1
GC0762,0.0697,NA,NA,NA,10,NA,NA,NA,2.52,NA,NA,10,10,10,10,0.384669451,cross,BA.5 convalescents,C/D1
GC0763,10,NA,NA,NA,10,NA,NA,NA,0.985,NA,NA,0.45,0.469,0.391,NA,0.867683809,specific,BA.5 convalescents,A2
GC0766,0.846,NA,NA,NA,10,NA,NA,NA,10,NA,NA,10,10,10,10,0.120254209,cross,BA.5 convalescents,E1/E2.1
GC0772,0.000823,NA,NA,NA,10,NA,NA,NA,10,NA,NA,10,10,10,10,0.713122091,cross,BA.5 convalescents,D2
GC0777,0.955,NA,NA,NA,NA,NA,NA,NA,0.74,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,E2.2
GC0784,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.26119403,cross,BA.5 convalescents,E3
GC0785,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.122634941,cross,BA.5 convalescents,E3
GC0787,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.541463415,specific,BA.5 convalescents,E2.2
GC0791,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.038689523,cross,BA.5 convalescents,E3
GC0792,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,E3
GC0793,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.096552631,cross,BA.5 convalescents,E3
GC0796,10,NA,NA,NA,10,NA,NA,NA,0.00649,NA,NA,0.0445,0.0178,0.0296,NA,0.774928367,specific,BA.5 convalescents,F3
GC0799,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,E3
GC0800,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,E3
GC0801,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.273759542,cross,BA.5 convalescents,E3
GC0802,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.260701573,cross,BA.5 convalescents,E3
GC0803,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.148905777,cross,BA.5 convalescents,E3
GC0805,10,NA,NA,NA,10,NA,NA,NA,0.00722,NA,NA,0.0253,0.0112,0.0126,0.01384,0.884077489,specific,BA.5 convalescents,A2
GC0807,1.38,NA,NA,NA,NA,NA,NA,NA,0.712,NA,NA,2.19,1.23,2.25,NA,0.042923613,cross,BA.5 convalescents,E2.2
GC0808,10,NA,NA,NA,10,NA,NA,NA,4.17,NA,NA,10,3.36,2.47,NA,0.575665309,cross,BA.5 convalescents,E3
GC0812,10,NA,NA,NA,10,NA,NA,NA,0.00469,NA,NA,0.00482,0.0465,0.0371,0.02966,0.257885275,specific,BA.5 convalescents,C/D1
GC0815,10,NA,NA,NA,10,NA,NA,NA,0.141,NA,NA,0.422,1.58,1.67,NA,0.44240463,specific,BA.5 convalescents,A2
GC0820,0.974,NA,NA,NA,NA,NA,NA,NA,3.43,NA,NA,10,1.41,0.947,NA,0.248281735,cross,BA.5 convalescents,F1
GC0822,10,NA,NA,NA,10,NA,NA,NA,0.351,NA,NA,1.19,0.506,0.342,NA,0.307277076,specific,BA.5 convalescents,A2
GC0829,10,NA,NA,NA,10,NA,NA,NA,0.0165,NA,NA,0.00392,10,10,10,0.41699504,specific,BA.5 convalescents,C/D1
GC0830,10,NA,NA,NA,10,NA,NA,NA,0.00575,NA,NA,0.0224,10,10,10,0.71182266,specific,BA.5 convalescents,D2
GC0832,0.0407,NA,NA,NA,10,NA,NA,NA,0.101,NA,NA,10,10,10,10,0.56561249,cross,BA.5 convalescents,D2
GC0839,0.00384,NA,NA,NA,10,NA,NA,NA,0.00288,NA,NA,10,10,10,10,0.670875965,cross,BA.5 convalescents,E1/E2.1
GC0841,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.591985428,cross,BA.5 convalescents,E3
GC0842,10,NA,NA,NA,10,NA,NA,NA,0.301,NA,NA,0.488,0.136,0.1,NA,0.456277577,specific,BA.5 convalescents,F3
GC0850,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0852,10,NA,NA,NA,10,NA,NA,NA,0.00422,NA,NA,0.0591,0.283,0.374,NA,0.285915777,specific,BA.5 convalescents,D4
GC0858,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.114206696,cross,BA.5 convalescents,F1
GC0860,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.13382367,cross,BA.5 convalescents,F1
GC0861,1.68,10,10,NA,NA,NA,NA,NA,10,NA,NA,10,10,10,10,0.391101598,cross,BA.5 convalescents,F1
GC0874,1.3,NA,NA,NA,NA,NA,NA,NA,0.789,NA,NA,2.58,1.58,2.42,NA,0.111761924,cross,BA.5 convalescents,E3
GC0875,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,E2.2
GC0876,0.0278,NA,NA,NA,10,NA,NA,NA,0.0272,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,E1/E2.1
GC0877,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,E2.2
GC0878,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,E2.2
GC0881,0.0393,NA,NA,NA,10,NA,NA,NA,0.138,NA,NA,10,10,10,10,0.556748234,cross,BA.5 convalescents,E1/E2.1
GC0968,0.00441,0.00276,NA,NA,10,NA,NA,NA,0.00138,NA,NA,0.0258,0.0138,0.016,0.2887,0.607329843,cross,long-term BA.1 convalescents,A1
GC0979,10,0.00146,NA,NA,10,NA,NA,NA,0.00138,NA,NA,0.0388,0.0217,0.0174,NA,0.07860484,specific,long-term BA.1 convalescents,F3
GC1035,10,0.000908,NA,NA,10,NA,NA,NA,0.00355,NA,NA,0.0489,0.119,0.117,NA,0.575427683,specific,long-term BA.1 convalescents,A2
GC1061,0.0068,0.000625,NA,NA,10,NA,NA,NA,0.0306,NA,NA,0.0969,10,10,10,0.369694604,cross,long-term BA.1 convalescents,B
GC1090,0.139,0.000511,NA,NA,10,NA,NA,NA,0.00132,NA,NA,0.000947,0.993,0.559,NA,0.644273128,specific,long-term BA.1 convalescents,B
GC1111,10,0.000655,NA,NA,10,NA,NA,NA,0.00241,NA,NA,0.0059,10,10,10,0.744993049,specific,long-term BA.1 convalescents,D3
GC1128,0.00103,0.00102,NA,NA,10,NA,NA,NA,0.00562,NA,NA,0.00641,0.967,2.31,NA,0.534059754,cross,long-term BA.1 convalescents,B
GC1131,10,10,10,NA,10,NA,NA,0.2175,0.0949,0.2261,NA,0.153,0.0944,0.177,NA,0.195625258,specific,BF.7 convalescents,F3
GC1132,10,10,10,NA,10,NA,NA,10,10,10,NA,10,10,10,10,0.214871425,specific,BF.7 convalescents,C/D1
GC1134,10,0.00515,0.00507,NA,10,NA,NA,0.01472,0.00517,0.005143,NA,0.0113,0.00896,0.0114,10,0.925521687,specific,BF.7 convalescents,A2
GC1135,0.188,0.0321,0.006,NA,10,NA,NA,0.02919,0.00436,0.01858,NA,2.89,0.176,10,10,0.648615999,specific,BF.7 convalescents,D2
GC1136,10,10,0.0112,NA,10,NA,NA,0.05047,0.00437,0.006025,NA,0.0155,0.178,0.169,NA,0.876141761,specific,BF.7 convalescents,D4
GC1137,10,10,10,NA,10,NA,NA,10,0.00528,0.07248,NA,0.384,1.51,0.192,NA,0.745589601,specific,BF.7 convalescents,D4
GC1138,10,0.309,0.0444,NA,10,NA,NA,0.09081,0.0383,0.03392,NA,0.0509,0.0436,0.0585,0.04801,0.872258675,specific,BF.7 convalescents,F3
GC1139,10,10,10,NA,10,NA,NA,10,0.857,1.0561,NA,0.613,10,10,10,0,specific,BF.7 convalescents,C/D1
GC1140,10,10,10,NA,10,NA,NA,0.01127,0.00119,0.00192,NA,0.0109,0.00977,0.0103,0.01579,0.394502028,specific,BF.7 convalescents,A2
GC1141,10,0.0606,0.013,NA,10,NA,NA,0.8971,0.0183,0.03262,NA,0.25,0.244,0.395,NA,0.478539803,specific,BF.7 convalescents,F3
GC1142,0.048,0.00996,0.0181,NA,10,NA,NA,0.1069,0.0171,0.01357,NA,0.0683,0.0474,0.0939,0.06141,0.400794612,cross,BF.7 convalescents,A1
GC1143,10,10,0.0397,NA,10,NA,NA,0.06077,0.0269,0.02556,NA,0.0676,0.0465,0.0345,0.01097,0.724681597,specific,BF.7 convalescents,F3
GC1145,10,0.00176,0.000828,NA,10,NA,NA,0.002233,0.000847,0.0007788,NA,10,0.044,10,10,0.602836251,specific,BF.7 convalescents,C/D1
GC1146,10,0.796,0.3,NA,10,NA,NA,0.1326,0.00865,0.009322,NA,0.0234,1.21,10,10,0.663112908,specific,BF.7 convalescents,B
GC1149,10,0.0439,0.00123,NA,10,NA,NA,0.06043,0.00167,0.001315,NA,0.0129,0.182,0.12,NA,0.811665407,specific,BF.7 convalescents,F3
GC1150,10,10,0.0754,NA,10,NA,NA,10,0.0225,0.03437,NA,2.41,10,10,10,0.355189251,specific,BF.7 convalescents,F3
GC1151,0.0572,0.000726,0.00117,NA,10,NA,NA,0.01685,0.00211,0.007388,NA,0.0195,0.0237,0.0269,10,0.925327644,cross,BF.7 convalescents,A1
GC1152,10,10,10,NA,10,NA,NA,0.1257,0.0089,0.009015,NA,0.0105,10,10,10,0.538668913,specific,BF.7 convalescents,C/D1
GC1153,10,10,10,NA,10,NA,NA,10,3.4,2.2814,NA,10,10,10,10,0,specific,BF.7 convalescents,C/D1
GC1154,10,10,10,NA,0.3736,NA,NA,10,10,10,NA,10,10,10,10,0.206931359,cross,BF.7 convalescents,F1
GC1155,0.0318,0.00146,0.0016,NA,10,NA,NA,0.04306,0.00462,0.009939,NA,0.0247,0.14,0.236,NA,0.428660783,cross,BF.7 convalescents,A1
GC1156,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,E2.2
GC1157,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.248286334,cross,BF.7 convalescents,E2.2
GC1158,10,10,10,NA,0.271,NA,NA,10,10,10,NA,10,10,10,10,0.0735913,cross,BF.7 convalescents,F1
GC1159,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.169142816,cross,BF.7 convalescents,E3
GC1161,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.083311046,cross,BF.7 convalescents,E3
GC1162,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,F1
GC1163,10,10,10,NA,0.3189,NA,NA,10,10,10,NA,10,10,10,10,0.153260403,cross,BF.7 convalescents,F1
GC1165,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.069242111,cross,BF.7 convalescents,F1
GC1166,0.0354,0.219,0.0711,NA,10,NA,NA,0.02723,0.168,0.08093,NA,0.989,0.0428,0.388,NA,0.294592756,cross,BF.7 convalescents,E1/E2.1
GC1167,0.837,0.189,0.514,NA,0.08372,NA,NA,0.5631,0.557,0.8038,NA,1.82,1.07,1.52,NA,0.360108181,cross,BF.7 convalescents,E2.2
GC1169,0.0102,0.00537,0.00426,NA,10,NA,NA,0.04436,0.00972,0.005947,NA,0.0103,0.016,0.0195,0.06635,0.322025565,cross,BF.7 convalescents,A1
GC1171,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.070268582,cross,BF.7 convalescents,E2.2
GC1172,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.095294466,cross,BF.7 convalescents,E2.2
GC1173,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.024608355,cross,BF.7 convalescents,F1
GC1174,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,F1
GC1175,10,10,10,NA,NA,NA,NA,NA,10,10,NA,10,10,10,NA,0,cross,BF.7 convalescents,F1
GC1176,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,F1
GC1177,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,F1
GC1178,0.00772,0.703,10,NA,10,NA,NA,0.1957,0.197,0.1664,NA,2.37,0.0701,0.122,NA,0.717589884,cross,BF.7 convalescents,A1
GC1179,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.13058816,cross,BF.7 convalescents,F1
GC1180,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.373106944,cross,BF.7 convalescents,E3
GC1181,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.222279526,cross,BF.7 convalescents,E3
GC1182,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,E2.2
GC1183,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.134516265,cross,BF.7 convalescents,E2.2
GC1184,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.122991801,cross,BF.7 convalescents,E2.2
GC1185,10,10,10,NA,10,NA,NA,10,10,10,NA,10,10,10,10,0.192324292,cross,BF.7 convalescents,E2.2
GC1186,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,E3
GC1187,0.00509,0.959,0.228,NA,10,NA,NA,0.0673,0.105,10,NA,10,10,10,10,0.143437391,cross,BF.7 convalescents,E1/E2.1
GC1188,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,E2.2
GC1189,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,E2.2
GC1190,0.0154,10,0.113,NA,10,NA,NA,10,0.158,0.2078,NA,10,10,10,10,0.667179882,cross,BF.7 convalescents,D2
GC1191,0.006,0.0024,0.00348,NA,10,NA,NA,0.08854,0.00289,0.002217,NA,0.0411,0.0565,0.0744,0.2467,0.766083583,cross,BF.7 convalescents,A1
GC1192,10,10,10,NA,10,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,E2.2
GC1193,10,10,10,NA,NA,NA,NA,10,10,10,NA,10,10,10,10,0.338065195,cross,BF.7 convalescents,F1
GC1194,10,10,10,NA,10,NA,NA,10,10,10,NA,10,10,10,10,0.045888825,cross,BF.7 convalescents,F1
GC1196,0.000708,10,0.0571,NA,10,NA,NA,10,0.0832,0.716,NA,10,10,10,10,0.230976172,cross,BF.7 convalescents,D2
GC1197,10,10,10,NA,0.04443,NA,NA,10,10,10,NA,10,10,10,10,0,cross,BF.7 convalescents,F1
